symbol;Industry;Sector;Country;Year;GDP;LnGDPperCapita;EPU;TotalAssets;TotalCapitalization;TotalDebt;TotalEquityGrossMinorityInterest;TotalLiabilitiesNetMinorityInterest;TotalNonCurrentAssets;TotalNonCurrentLiabilitiesNetMinorityInterest;CashAndCashEquivalents;NetIncome;FreeCashFlow;EBIT;BasicEPS;DilutedEPS;DividendsPayable;TotalRevenue
AFLT.ME;Airlines;Industrials;Russia;2021;12194.77734;9.408763052;333.509323;77472501559;17468532119;13294857850;14082977315;63389524244;1.45018E+11;73211873173;8007797558;1826722477;875579415.6;2845443256;0.81055;0.8091;0;24393593294
AFLT.ME;Airlines;Industrials;Russia;2022;12011.85568;9.393649415;577.1421162;66396517168;14418411013;10420364979;12971832105;53424685063;1.54824E+11;53979407265;4562067027;202105861.7;944404617.2;877446753.5;0.0899;0.0899;0;16741219045
ALRS.ME;Other Precious Metals & Mining;Basic Materials;Russia;2021;12194.77734;9.408763052;333.509323;78803171315;19291888950;8777731310;21951225055;56851946260;1.31155E+11;33192722000;6064547280;1214370650;2042850625;2346143210;0.05075;0.05075;71850545;72582888815
APTK.ME;Pharmaceutical Retailers;Healthcare;Russia;2021;12194.77734;9.408763052;333.509323;26120204368;13492751873;2891283958;12484090496;13636113872;56891534636;15889776170;9856914153;31886765.2;-430822989.7;95212890.9;0.00145;0.00145;43735.95705;5733207068
APTK.ME;Pharmaceutical Retailers;Healthcare;Russia;2022;12011.85568;9.393649415;577.1421162;27390119303;14611025217;4052247784;12192259074;15197860229;55182898310;25187558195;10863757480;-327815172.7;-707295527;-282398772.2;-0.014355;-0.014355;43735.95705;6402465531
CHMF.ME;Steel;Basic Materials;Russia;2019;11536.25098;9.353249615;284.1168005;32557596.68;17608655.61;19752951.19;9581733.417;22975863.27;4.04064E+11;1.34574E+11;141250.8516;-266941.4967;3489188.861;2212692.378;-0.00043656;-0.00043656;0;27509405.44
CHMF.ME;Steel;Basic Materials;Russia;2020;10169.08691;9.227107703;503.8552216;30864876.58;16737948.48;19963480.32;8387727.036;22477149.55;4.07628E+11;1.34863E+11;155840.9763;-1178744.889;4413529.39;768465.1496;-0.00181356;-0.00181356;0;17385359.69
ENPG.ME;Aluminum;Basic Materials;Russia;2020;10169.08691;9.227107703;503.8552216;732760267.5;502418040;223984921.5;390351557.5;342408710;35263000000;10470000000;8789624;101406127;-34963959.5;125651003;0.53797295;0.53797295;871132;549592529.5
ENPG.ME;Aluminum;Basic Materials;Russia;2021;12194.77734;9.408763052;333.509323;820843703;651819625;71404683.5;619943779.5;200899923.5;41310800000;3611700000;11997641;144141758.5;98353494.5;169344635;0.7240673;0.7240673;721865;645545517
ENPG.ME;Aluminum;Basic Materials;Russia;2022;12011.85568;9.393649415;577.1421162;871380370.5;640814242.5;87738408.5;640814242.5;230566128;42612400000;1679500000;7474361.5;63737009;15502968.5;78039724;0.3242275;0.3242275;784263.5;640109506.5
FESH.ME;Integrated Freight & Logistics;Industrials;Russia;2021;12194.77734;9.408763052;333.509323;522155664.4;196222152.7;62308181.23;193095975.6;329059688.8;12979394000;1479909000;5583540.13;23313413.22;75593164.46;39227159.61;0.204112051;0.20339245;94331.85;556312823.5
FESH.ME;Integrated Freight & Logistics;Industrials;Russia;2022;12011.85568;9.393649415;577.1421162;488368822;213303423.9;11107911.8;208632957.4;279735864.6;13804923000;1287651000;14537015.25;15723993.78;102589312.7;28626437.5;0.137085565;0.136586242;82292.61;578433165.1
FLOT.ME;Oil & Gas Midstream;Energy;Russia;2022;12011.85568;9.393649415;577.1421162;549587513.2;356517157.7;148130674.4;338874446.7;210713066.4;21154100000;2324195000;39372.23;56848153.43;35551765.61;76944177.63;0.2745534;0.2745534;215813.165;584008948.3
GAZP.ME;Oil & Gas Integrated;Energy;Russia;2021;12194.77734;9.408763052;333.509323;354500560.5;102402056;186235052.5;72426306;282074254.5;18176400000;10149000000;10217448.5;12456453.5;72135113;30678039;0.52500385;0.52500385;67292.5;402302705.5
GAZP.ME;Oil & Gas Integrated;Energy;Russia;2022;12011.85568;9.393649415;577.1421162;346098786;106687976.5;130417759;106687976.5;239410809.5;17531700000;6839900000;22334992.5;46763393.5;83837890.5;73319461;1.9708138;1.9708138;63622;539623451.5
GCHE.ME;Packaged Foods;Consumer Defensive;Russia;2020;10169.08691;9.227107703;503.8552216;323100656.5;110216550.5;178743562;60053050.5;263047606;19194800000;12064500000;11930348.5;-5121571;20207326;9575111;-0.2158254;-0.2158254;126020.5;388477155.5
GCHE.ME;Packaged Foods;Consumer Defensive;Russia;2021;12194.77734;9.408763052;333.509323;354500560.5;102402056;186235052.5;72426306;282074254.5;18176400000;10149000000;10217448.5;12456453.5;72135113;30678039;0.52500385;0.52500385;67292.5;402302705.5
GCHE.ME;Packaged Foods;Consumer Defensive;Russia;2022;12011.85568;9.393649415;577.1421162;346098786;106687976.5;130417759;106687976.5;239410809.5;17531700000;6839900000;22334992.5;46763393.5;83837890.5;73319461;1.9708138;1.9708138;63622;539623451.5
HYDR.ME;Utilities—Renewable;Utilities;Russia;2020;10169.08691;9.227107703;503.8552216;1829990174;1228809990;437397579.5;966364346;863625827.5;1.01487E+11;25120900000;73761144.5;183106563;175705611.5;234969504.5;0.1791204;0.1791204;2159477.5;1212586380
HYDR.ME;Utilities—Renewable;Utilities;Russia;2021;12194.77734;9.408763052;333.509323;1747503027;1213590874;228056729.5;1154849415;592653612;98104100000;7082300000;64127305.5;210542327;228276959.5;266269081.5;0.20591505;0.20591505;2021222;1338020824
HYDR.ME;Utilities—Renewable;Utilities;Russia;2022;12011.85568;9.393649415;577.1421162;1974002241;1460465033;208525999;1413868036;560134205.5;1.04468E+11;6065200000;91875062;218197766.5;143645017.5;272554201;0.2133784;0.2133784;1857273;1489515817
IRAO.ME;Utilities—Regulated Electric;Utilities;Russia;2020;10169.08691;9.227107703;503.8552216;5151066893;761570878.5;2779690205;719165959;4431900934;1.96446E+11;1.97857E+11;87977725.1;-28590503.3;719843288.6;195623702.1;-0.07426645;-0.07426645;978.8;4327379899
IRKT.ME;Aerospace & Defense;Industrials;Russia;2020;10169.08691;9.227107703;503.8552216;2466429180;1656900405;566137920;1656900405;809528775;1.48093E+11;24063000000;17765220;403595945;181726455;504338935;0.2182724;0.218260165;0;825006050
IRKT.ME;Aerospace & Defense;Industrials;Russia;2021;12194.77734;9.408763052;333.509323;5498861695;2126699935;2639823600;1942550950;3556310745;3.53139E+11;1.51161E+11;1774075;462360650;656126345;684266845;0.21430826;0.214296025;0;1707308605
IRKT.ME;Aerospace & Defense;Industrials;Russia;2022;12011.85568;9.393649415;577.1421162;5868835860;3000560340;2413476100;2710113675;3158722185;3.56563E+11;1.69902E+11;119927470;779748785;714046835;1227598725;0.28935775;0.28935775;0;3391199420
